,"
	",Symbol,Long/Short,Entry Date,Entry Price,Exit Price,Exit Date,Profit%,"
"
97,"
	",VIAC,Long,01/21/2022,$31.60,$34.80,02/09/2022,10.13%,"
"
98,"
	",SE,Long,01/13/2022,$147.96,$166.50,02/09/2022,12.53%,"
"
99,"
	",TNA,Long,01/21/2022,$57.27,$65.20,02/02/2022,13.85%,"
"
100,"
	",MARA,Long,02/03/2022,$21.33,$25.10,02/07/2022,17.68%,"
"
101,"
	",PTON,Long,01/13/2022,$29.12*,$33.35,02/04/2022,14.35%,"
"
102,"
	",FSLY,Long,01/21/2022,$26.97*,$29.60,02/01/2022,9.75%,"
"
103,"
	",FUBO,Long,01/21/2022,$9.57*,$11.47,02/01/2022,19.85%,"
"
104,"
	",AI,Long,01/21/2022,$24.30*,$26.65,02/01/2022,9.67%,"
"
105,"
	",MARA,Long,01/18/2022,$21.77*,$24.87,02/01/2022,14.24%,"
"
106,"
	",SQ,Long,01/14/2022,$113.36*,$127.45,02/01/2022,12.43%,"
"
107,"
	",AFRM,Long,01/14/2022,$58.07*,$67.22,02/01/2022,15.76%,"
"
108,"
	",NVDA,Long,01/24/2022,$221.30,$253.07,02/01/2022,14.34%,"
"
109,"
	",PLTR,Long,01/21/2022,$12.86*,$14.43,02/01/2022,12.21%,"
"
110,"
	",CPNG,Long,01/21/2022,$17.80*,$20.75,01/31/2022,16.57%,"
"
111,"
	",BILI,Long,01/27/2022,$30.25,$34.25,01/31/2022,13.22%,"
"
112,"
	",PDD,Long,01/27/2022,$51.20,$57.80,01/31/2022,12.89%,"
"
113,"
	",DKNG,Long,01/21/2022,$18.92,$22.22,01/26/2022,17.44%,"
"
114,"
	",BITO,Long,01/24/2022,$21.10,$24.15,01/26/2022,14.46%,"
"
115,"
	",NFLX,Long,01/24/2022,$352.65,$384.65,01/24/2022,9.07%,"
"
116,"
	",ARKK,Long,01/24/2022,$65.95,$72.75,01/24/2022,10.31%,"
"
117,"
	",NVDA,Short,04/16/2020,$201.04*,$221.30,01/24/2022,-9.58%,"
"
118,"
	",DXD,Long,12/30/2021,$40.00,$45.30,01/21/2022,13.25%,"
"
119,"
	",SMH,Short,06/15/2021,$288.49*,$272.95,01/21/2022,5.39%,"
"
120,"
	",CMG,Short,08/21/2020,"$1,417.38*","$1,373.38",01/21/2022,3.10%,"
"
121,"
	",MSFT,Short,07/02/2021,$303.11*,$297.45,01/21/2022,1.87%,"
"
122,"
	",EBAY,Short,03/27/2020,$61.35*,$59.45,01/21/2022,3.10%,"
"
123,"
	",COST,Short,09/07/2021,$477.84*,$483.35,01/21/2022,-1.15%,"
"
124,"
	",UVXY,Long,12/30/2021,$12.35,$14.55,01/20/2022,17.81%,"
"
125,"
	",QID,Long,12/23/2021,$15.78,$18.32,01/20/2022,16.10%,"
"
126,"
	",CROX,Short,11/23/2020,$122.13*,$111.33,01/20/2022,8.84%,"
"
127,"
	",NEM,Long,06/18/2021,$58.29,$64.40,01/19/2022,10.48%,"
"
128,"
	",PDD,Long,12/02/2021,$59.70,$65.90,01/19/2022,10.39%,"
"
129,"
	",DRV,Long,12/07/2021,$35.02*,$39.40,01/18/2022,12.51%,"
"
130,"
	",VIAC,Long,07/06/2021,$34.33*,$37.33,01/18/2022,8.74%,"
"
131,"
	",TDOC,Long,01/10/2022,$77.45,$88.05,01/11/2022,13.69%,"
"
132,"
	",SQ,Long,01/10/2022,$133.50,$150.05,01/11/2022,12.40%,"
"
133,"
	",PTON,Long,01/03/2022,$34.05*,$37.55,01/11/2022,10.28%,"
"
134,"
	",AFRM,Long,01/10/2022,$73.00,$81.35,01/11/2022,11.44%,"
"
135,"
	",SE,Long,01/05/2022,$178.83*,$197.38,01/11/2022,10.37%,"
"
136,"
	",C,Long,12/20/2021,$58.25,$63.55,01/03/2022,9.10%,"
"
